,Unnamed: 0,Szene,Cliplänge in Sekunden,Anzahl Sakkaden,Gesamt Dauer Sakkaden,Anzahl Lost Tracks,Dauer Lost Tracks,Anzahl Fixationen,Gesamt Dauer Fixationen,Name
0,0,202 - 207,5.0,17.0,589.0,0.0,0.0,10.0,4.411,Andy
1,1,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Annika
2,2,202 - 207,5.0,12.0,434.0,21.0,1705.0,13.0,2.861,Celina
3,3,202 - 207,5.0,13.0,470.0,0.0,0.0,10.0,4.53,Finn
4,4,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Fiona
5,5,202 - 207,5.0,8.0,220.0,0.0,0.0,11.0,4.78,Janni
6,6,202 - 207,5.0,4.0,125.0,0.0,0.0,5.0,4.875,Lena
7,7,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Merle
8,8,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Neele
9,9,202 - 207,5.0,11.0,345.0,0.0,0.0,11.0,4.655,Nikla
10,10,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Nil
11,11,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Ole
12,12,202 - 207,5.0,11.0,375.0,0.0,0.0,9.0,4.625,Pia
13,13,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Robin
14,14,202 - 207,5.0,7.0,341.0,0.0,0.0,10.0,4.659,Timon
15,15,202 - 207,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Vanessa
16,16,202 - 207,5.0,9.0,404.0,0.0,0.0,7.0,4.596,Willi
17,0,262 - 267,5.0,19.0,775.0,0.0,0.0,10.0,4.225,Andy
18,1,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Annika
19,2,262 - 267,5.0,21.0,683.0,0.0,0.0,17.0,4.317,Celina
20,3,262 - 267,5.0,4.0,125.0,0.0,0.0,2.0,4.875,Finn
21,4,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Fiona
22,5,262 - 267,5.0,4.0,157.0,0.0,0.0,4.0,4.843,Janni
23,6,262 - 267,5.0,2.0,440.0,7.0,596.0,4.0,3.964,Lena
24,7,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Merle
25,8,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Neele
26,9,262 - 267,5.0,7.0,285.0,0.0,0.0,8.0,4.715,Nikla
27,10,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Nil
28,11,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Ole
29,12,262 - 267,5.0,5.0,160.0,0.0,0.0,6.0,4.84,Pia
30,13,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Robin
31,14,262 - 267,5.0,6.0,280.0,0.0,0.0,7.0,4.72,Timon
32,15,262 - 267,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Vanessa
33,16,262 - 267,5.0,1.0,31.0,0.0,0.0,2.0,4.969,Willi
34,0,325 - 330,5.0,13.0,524.0,0.0,0.0,10.0,4.476,Andy
35,1,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Annika
36,2,325 - 330,5.0,9.0,279.0,0.0,0.0,8.0,4.721,Celina
37,3,325 - 330,5.0,16.0,502.0,0.0,0.0,14.0,4.498,Finn
38,4,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Fiona
39,5,325 - 330,5.0,7.0,141.0,0.0,0.0,8.0,4.859,Janni
40,6,325 - 330,5.0,1.0,32.0,0.0,0.0,2.0,4.968,Lena
41,7,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Merle
42,8,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Neele
43,9,325 - 330,5.0,11.0,346.0,0.0,0.0,8.0,4.654,Nikla
44,10,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Nil
45,11,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Ole
46,12,325 - 330,5.0,12.0,376.0,0.0,0.0,7.0,4.624,Pia
47,13,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Robin
48,14,325 - 330,5.0,1.0,31.0,0.0,0.0,3.0,4.969,Timon
49,15,325 - 330,5.0,0.0,0.0,0.0,0.0,0.0,5.0,Vanessa
50,16,325 - 330,5.0,1.0,31.0,0.0,0.0,2.0,4.969,Willi
51,0,8 - 13,5.0,5.0,309.0,0.0,0.0,7.0,4.691,Andy
52,1,8 - 13,5.0,1.0,31.0,0.0,0.0,2.0,4.969,Annika
53,2,8 - 13,5.0,6.0,340.0,0.0,0.0,6.0,4.66,Celina
54,3,8 - 13,5.0,7.0,222.0,0.0,0.0,6.0,4.778,Finn
55,4,8 - 13,5.0,4.0,173.0,0.0,0.0,5.0,4.827,Fiona
56,5,8 - 13,5.0,3.0,57.0,0.0,0.0,5.0,4.943,Janni
57,6,8 - 13,5.0,5.0,160.0,7.0,221.0,4.0,4.619,Lena
58,7,8 - 13,5.0,17.0,950.0,0.0,0.0,12.0,4.05,Merle
59,8,8 - 13,5.0,7.0,404.0,0.0,0.0,9.0,4.596,Neele
60,9,8 - 13,5.0,4.0,126.0,0.0,0.0,5.0,4.874,Nikla
61,10,8 - 13,5.0,4.0,282.0,0.0,0.0,4.0,4.718,Nil
62,11,8 - 13,5.0,23.0,722.0,0.0,0.0,19.0,4.2780000000000005,Ole
63,12,8 - 13,5.0,9.0,280.0,0.0,0.0,9.0,4.72,Pia
64,13,8 - 13,5.0,9.0,276.0,0.0,0.0,10.0,4.724,Robin
65,14,8 - 13,5.0,0.0,0.0,0.0,0.0,1.0,5.0,Timon
66,15,8 - 13,5.0,5.0,218.0,0.0,0.0,5.0,4.782,Vanessa
67,16,8 - 13,5.0,5.0,154.0,0.0,0.0,6.0,4.846,Willi
68,0,98 - 103,5.0,30.0,962.0,0.0,0.0,17.0,4.038,Andy
69,1,98 - 103,5.0,8.0,264.0,0.0,0.0,7.0,4.736,Annika
70,2,98 - 103,5.0,14.0,557.0,0.0,0.0,11.0,4.443,Celina
71,3,98 - 103,5.0,11.0,1100.0,0.0,0.0,8.0,3.9,Finn
