,Unnamed: 0,Szene,Cliplänge in Sekunden,Anzahl Sakkaden,Gesamt Dauer Sakkaden,Anzahl Lost Tracks,Dauer Lost Tracks,Anzahl Fixationen,Gesamt Dauer Fixationen,Name
0,0,202 - 207,5.0,17.0,589.0,0.0,0.0,10.0,4.411,Andy.csv
1,1,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Annika.csv
2,2,202 - 207,5.0,12.0,434.0,21.0,1705.0,13.0,2.861,Celina.csv
3,3,202 - 207,5.0,13.0,470.0,0.0,0.0,10.0,4.53,Finn.csv
4,4,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Fiona.csv
5,5,202 - 207,5.0,8.0,220.0,0.0,0.0,11.0,4.78,Jannis.csv
6,6,202 - 207,5.0,4.0,125.0,0.0,0.0,5.0,4.875,Lena.csv
7,7,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Merle.csv
8,8,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Neele.csv
9,9,202 - 207,5.0,11.0,345.0,0.0,0.0,11.0,4.655,Niklas.csv
10,10,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Nils.csv
11,11,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Ole.csv
12,12,202 - 207,5.0,11.0,375.0,0.0,0.0,9.0,4.625,Pia.csv
13,13,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Robin.csv
14,14,202 - 207,5.0,7.0,341.0,0.0,0.0,10.0,4.659,Timon.csv
15,15,202 - 207,5.0,0.0,0.0,0.0,0.0,,5.0,Vanessa.csv
16,16,202 - 207,5.0,9.0,404.0,0.0,0.0,7.0,4.596,Willi.csv
17,0,262 - 267,5.0,19.0,775.0,0.0,0.0,10.0,4.225,Andy.csv
18,1,262 - 267,5.0,0.0,0.0,0.0,0.0,,5.0,Annika.csv
19,2,262 - 267,5.0,21.0,683.0,0.0,0.0,17.0,4.317,Celina.csv
20,3,262 - 267,5.0,4.0,125.0,0.0,0.0,2.0,4.875,Finn.csv
21,4,262 - 267,5.0,0.0,0.0,0.0,0.0,,5.0,Fiona.csv
22,5,262 - 267,5.0,4.0,157.0,0.0,0.0,4.0,4.843,Jannis.csv
23,6,262 - 267,5.0,2.0,440.0,7.0,596.0,4.0,3.964,Lena.csv
24,7,262 - 267,5.0,0.0,0.0,0.0,0.0,,5.0,Merle.csv
