,Unnamed: 0,Szene,Cliplänge in Sekunden,Anzahl Sakkaden,Gesamt Dauer Sakkaden,Anzahl Lost Tracks,Dauer Lost Tracks,Anzahl Fixationen,Gesamt Dauer Fixationen,Name,Label
39,39,98 - 103,5.0,19.0,720.0,0.0,0.0,15.0,4.28,Vanessa_1.csv,0
40,40,98 - 103,5.0,22.0,690.0,0.0,0.0,15.0,4.3100000000000005,Robin_0.csv,0
41,41,98 - 103,5.0,14.0,557.0,0.0,0.0,11.0,4.4430000000000005,Celina_1.csv,0
42,42,98 - 103,5.0,8.0,264.0,0.0,0.0,7.0,4.7360000000000015,Annika_1.csv,0
43,43,98 - 103,5.0,2.0,62.0,0.0,0.0,2.0,4.938,Ole_1.csv,0
45,45,8 - 13,5.0,5.0,160.0,7.0,221.0,4.0,4.619,Lena_28.06.22.csv,0
46,46,8 - 13,5.0,5.0,154.0,0.0,0.0,6.0,4.846,Willi_0.csv,0
47,47,8 - 13,5.0,4.0,173.0,0.0,0.0,5.0,4.827,Fiona_1.csv,0
48,48,8 - 13,5.0,4.0,282.0,0.0,0.0,4.0,4.718,Nils_21.06.csv,0
49,49,8 - 13,5.0,5.0,309.0,0.0,0.0,7.0,4.691,Andy_1.csv,0
50,50,8 - 13,5.0,0.0,0.0,0.0,0.0,1.0,5.0,Timon_1.csv,0
51,51,8 - 13,5.0,9.0,280.0,0.0,0.0,9.0,4.72,Pia_27.06.2022.csv,0
52,52,8 - 13,5.0,7.0,222.0,0.0,0.0,6.0,4.7780000000000005,Finn_27.06.22.csv,0
53,53,8 - 13,5.0,3.0,57.0,0.0,0.0,5.0,4.9430000000000005,Jannis_0.csv,0
54,54,8 - 13,5.0,4.0,126.0,0.0,0.0,5.0,4.874,Niklas_28.6.csv,0
55,55,8 - 13,5.0,7.0,404.0,0.0,0.0,9.0,4.596,Neele_20.06.csv,0
56,56,8 - 13,5.0,5.0,218.0,0.0,0.0,5.0,4.782,Vanessa_1.csv,0
57,57,8 - 13,5.0,9.0,276.0,0.0,0.0,10.0,4.724,Robin_0.csv,0
58,58,8 - 13,5.0,6.0,340.0,0.0,0.0,6.0,4.66,Celina_1.csv,0
28,28,98 - 103,5.0,13.0,409.0,0.0,0.0,10.0,4.591,Lena_28.06.22.csv,0
27,27,98 - 103,5.0,2.0,62.0,0.0,0.0,3.0,4.938,Merle_0.csv,0
60,60,8 - 13,5.0,23.0,722.0,0.0,0.0,19.0,4.2780000000000005,Ole_1.csv,0
15,15,262 - 267,5.0,4.0,157.0,0.0,0.0,4.0,4.843,Jannis_0.csv,0
12,12,262 - 267,5.0,6.0,280.0,0.0,0.0,7.0,4.72,Timon_1.csv,0
16,16,262 - 267,5.0,7.0,285.0,0.0,0.0,8.0,4.715,Niklas_28.6.csv,0
10,10,262 - 267,5.0,1.0,31.0,0.0,0.0,2.0,4.9689999999999985,Willi_0.csv,0
18,18,202 - 207,5.0,4.0,125.0,0.0,0.0,5.0,4.875,Lena_28.06.22.csv,0
19,19,202 - 207,5.0,9.0,404.0,0.0,0.0,7.0,4.596,Willi_0.csv,0
14,14,262 - 267,5.0,4.0,125.0,0.0,0.0,2.0,4.875,Finn_27.06.22.csv,0
6,6,325 - 330,5.0,7.0,141.0,0.0,0.0,8.0,4.859,Jannis_0.csv,0
13,13,262 - 267,5.0,5.0,160.0,0.0,0.0,6.0,4.84,Pia_27.06.2022.csv,0
4,4,325 - 330,5.0,12.0,376.0,0.0,0.0,7.0,4.624,Pia_27.06.2022.csv,0
3,3,325 - 330,5.0,1.0,31.0,0.0,0.0,3.0,4.9689999999999985,Timon_1.csv,0
22,22,202 - 207,5.0,11.0,375.0,0.0,0.0,9.0,4.625,Pia_27.06.2022.csv,0
1,1,325 - 330,5.0,1.0,31.0,0.0,0.0,2.0,4.9689999999999985,Willi_0.csv,0
24,24,202 - 207,5.0,8.0,220.0,0.0,0.0,11.0,4.78,Jannis_0.csv,0
8,8,325 - 330,5.0,9.0,279.0,0.0,0.0,8.0,4.721,Celina_1.csv,1
9,9,262 - 267,5.0,2.0,440.0,7.0,596.0,4.0,3.964,Lena_28.06.22.csv,1
2,2,325 - 330,5.0,13.0,524.0,0.0,0.0,10.0,4.476,Andy_1.csv,1
11,11,262 - 267,5.0,19.0,775.0,0.0,0.0,10.0,4.225,Andy_1.csv,1
5,5,325 - 330,5.0,16.0,502.0,0.0,0.0,14.0,4.498,Finn_27.06.22.csv,1
7,7,325 - 330,5.0,11.0,346.0,0.0,0.0,8.0,4.654,Niklas_28.6.csv,1
25,25,202 - 207,5.0,11.0,345.0,0.0,0.0,11.0,4.655,Niklas_28.6.csv,1
26,26,202 - 207,5.0,12.0,434.0,21.0,1705.0,13.0,2.861,Celina_1.csv,1
17,17,262 - 267,5.0,21.0,683.0,0.0,0.0,17.0,4.317,Celina_1.csv,1
38,38,98 - 103,5.0,11.0,409.0,17.0,685.0,10.0,3.906,Neele_20.06.csv,1
37,37,98 - 103,5.0,0.0,0.0,24.0,6391.0,3.0,-1.391,Niklas_28.6.csv,1
20,20,202 - 207,5.0,17.0,589.0,0.0,0.0,10.0,4.4110000000000005,Andy_1.csv,1
35,35,98 - 103,5.0,11.0,1100.0,0.0,0.0,8.0,3.9,Finn_27.06.22.csv,1
34,34,98 - 103,5.0,35.0,1097.0,0.0,0.0,25.0,3.903,Pia_27.06.2022.csv,1
33,33,98 - 103,5.0,10.0,310.0,0.0,0.0,9.0,4.69,Timon_1.csv,1
32,32,98 - 103,5.0,30.0,962.0,0.0,0.0,17.0,4.038,Andy_1.csv,1
21,21,202 - 207,5.0,7.0,341.0,0.0,0.0,10.0,4.659,Timon_1.csv,1
23,23,202 - 207,5.0,13.0,470.0,0.0,0.0,10.0,4.53,Finn_27.06.22.csv,1
44,44,8 - 13,5.0,17.0,950.0,0.0,0.0,12.0,4.05,Merle_0.csv,1
